TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20230101230035,1,23,19,1,0,0,0
20230101230077,1,57,19,2,0,0,0
20230101230105,1,80,19,2,0,0,0
20230101230522,1,71,18,1,0,0,0
20230101230522,2,69,20,2,0,0,0
20230101230524,1,40,18,1,0,0,0
20230101230524,2,41,20,2,0,0,0
20230101230524,3,8,22,2,0,0,0
20230101230524,4,2,22,1,0,0,0
20230101230556,1,80,18,2,0,0,0
20230101230556,2,85,20,1,60,0,0
20230101230565,1,56,18,2,0,0,0
20230101230565,2,51,20,1,0,0,0
20230101230623,1,18,18,2,0,0,0
20230101230623,2,50,24,2,0,0,0
20230101230623,3,80,26,2,0,0,0
20230101230625,1,68,19,1,0,0,0
20230101230628,1,21,19,1,0,0,0
20230101230644,1,70,19,2,0,0,0
20230101230650,1,24,18,2,0,0,0
20230101230650,2,35,20,1,0,0,0
20230101230650,3,12,22,1,0,0,0
20230101230663,1,53,18,1,0,0,0
20230101230663,2,52,20,2,0,0,0
20230101230670,1,35,18,2,0,0,0
20230101230670,2,38,20,1,0,0,0
20230101230670,3,18,22,1,0,0,0
20230101230670,4,5,22,1,0,0,0
20230101230670,5,2,22,1,0,0,0
20230101230683,1,72,18,2,0,0,0
20230101230683,2,80,20,1,0,0,0
20230101230690,1,37,18,2,0,0,0
20230101230690,2,42,20,2,0,0,0
20230101230690,3,18,22,1,0,0,0
20230101230712,1,85,19,2,60,0,0
20230101230713,1,38,18,1,0,0,0
20230101230713,2,39,20,2,0,0,0
20230101230713,3,14,22,2,0,0,0
20230101230713,4,12,22,2,0,0,0
20230101230713,5,5,22,2,0,0,0
20230101230733,1,57,18,2,0,0,0
20230101230733,2,51,20,1,0,0,0
20230101230733,3,16,22,2,0,0,0
20230101230733,4,13,22,1,0,0,0
20230101230746,1,37,18,1,0,0,0
20230101230746,2,38,20,2,0,0,0
20230101230746,3,4,22,2,0,0,0
20230101230746,4,0,22,1,0,0,0
20230101230758,1,80,19,1,0,0,0
20230101230761,1,34,18,2,0,0,0
20230101230761,2,36,20,1,0,0,0
20230101230761,3,5,22,1,0,0,0
20230101230761,4,4,22,2,0,0,0
20230101230769,1,52,18,1,0,0,0
20230101230769,2,55,20,2,0,0,0
20230101230769,3,26,22,2,0,0,0
20230101230769,4,24,22,1,0,0,0
20230101230769,5,19,22,1,0,0,0
20230101230808,1,80,18,1,60,0,0
20230101230808,2,75,20,2,0,0,0
20230101230812,1,47,18,1,0,0,0
20230101230812,2,44,20,2,0,0,0
20230101230812,3,6,22,1,0,0,0
20230101230812,4,29,26,1,0,0,0
20230101230827,1,19,18,1,0,0,0
20230101230827,2,48,24,1,0,0,0
20230101230827,3,78,26,1,0,0,0
20230101230827,4,20,30,1,0,0,0
20230101230827,5,20,30,1,0,0,0
20230101230827,6,51,24,2,0,0,0
20230101230865,1,64,18,1,0,0,0
20230101230865,2,31,22,1,0,0,0
20230101230865,3,24,22,1,0,0,0
20230101230866,1,72,19,2,0,0,0
20230101230884,1,26,18,2,0,0,0
20230101230884,2,29,25,2,0,0,0
20230101230884,3,9,26,1,0,0,0
20230101230886,1,74,19,2,0,0,0
20230101230894,1,22,19,2,0,0,0
20230101230898,1,38,18,2,0,0,0
20230101230898,2,41,20,1,0,0,0
20230101230898,3,8,22,2,0,0,0
20230101230898,4,7,22,2,0,0,0
20230101230903,1,63,18,1,0,0,0
20230101230903,2,61,20,2,0,0,0
20230101230903,3,31,22,1,0,0,0
20230101230908,1,69,18,1,0,0,0
20230101230908,2,65,20,2,0,0,0
20230101230913,1,44,18,2,0,0,0
20230101230913,2,46,20,1,0,0,0
20230101230913,3,18,22,2,0,0,0
20230101230913,4,15,22,1,0,0,0
20230101230925,1,66,19,1,0,0,0
20230101231024,1,24,19,2,0,0,0
20230101231039,1,42,18,1,0,0,0
20230101231039,2,43,20,2,0,0,0
20230101231039,3,14,22,2,0,0,0
20230101231039,4,11,22,2,0,0,0
20230101231039,5,8,22,1,0,0,0
20230101231045,1,80,19,2,0,0,0
20230101231048,1,76,19,2,0,0,0
20230101231075,1,75,19,2,0,0,0
20230101231081,1,71,18,1,0,0,0
20230101231081,2,71,20,2,0,0,0
20230101231096,1,64,18,2,0,0,0
20230101231096,2,59,20,1,0,0,0
20230101231112,1,65,18,2,0,0,0
20230101231112,2,79,20,1,0,0,0
20230101231119,1,60,19,1,0,0,0
20230101231127,1,40,18,2,0,0,0
20230101231127,2,46,20,1,0,0,0
20230101231150,1,62,18,1,0,0,0
20230101231150,2,60,20,2,0,0,0
20230101231151,1,36,18,2,0,0,0
