TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20230101230712,80,1,43,-1,0,2,-1,0,0,0,-1
20230101230827,78,3,26,-1,1,3,3,0,0,0,-1
20230101230865,85,4,33,3,0,4,-1,60,0,0,0
20230101230894,80,4,34,10,0,2,-1,0,0,0,0
20230101231039,67,4,33,2,0,6,-1,0,0,0,0
20230101231039,67,4,34,2,0,7,-1,0,0,0,0
20230101231039,65,4,39,1,0,8,-1,0,0,0,0
20230101231039,71,4,40,3,0,9,-1,0,0,0,0
20230101231150,85,2,33,-1,0,3,-1,60,0,0,-1
20230101231154,85,4,33,3,0,3,-1,60,0,0,0
20230101231156,85,4,33,2,0,3,-1,60,0,0,0
20230101231235,79,2,44,-1,0,2,-1,0,0,0,-1
20230101231387,59,4,22,59,1,3,3,0,0,0,0
20230101231521,72,4,43,10,0,3,-1,0,0,0,0
20230101231552,85,1,24,-1,1,2,2,0,0,0,-1
20230101231553,55,4,20,21,1,2,2,0,0,0,0
20230101231567,80,4,20,2,1,2,2,0,0,0,0
20230101231688,80,1,44,-1,0,3,-1,0,0,0,-1
20230101231688,73,1,43,-1,0,4,-1,0,0,0,-1
20230101231710,85,4,38,3,0,2,-1,60,0,0,0
20230101231717,85,1,33,-1,0,4,-1,60,0,0,-1
20230101231739,72,4,33,5,0,7,-1,0,0,0,0
20230101231739,75,4,34,5,0,8,-1,0,0,0,0
20230101231742,78,2,34,-1,0,4,-1,0,0,0,-1
20230101231895,85,4,33,6,0,3,-1,60,0,0,0
20230101231895,85,4,56,6,0,4,-1,60,0,0,0
20230101231964,80,2,56,-1,0,6,-1,60,0,0,-1
20230101231996,79,4,33,7,0,2,-1,0,0,0,0
20230101232031,77,3,40,-1,0,3,-1,0,0,0,-1
20230101232046,85,1,49,-1,0,3,-1,60,0,0,-1
20230101232072,85,4,24,2,1,3,3,0,0,0,0
20230101232321,69,1,43,-1,0,3,-1,0,0,0,-1
20230101232321,70,4,44,7,0,4,-1,0,0,0,0
20230101232321,70,4,44,7,0,5,-1,0,0,0,0
20230101232321,70,4,44,7,0,6,-1,0,0,0,0
20230101232321,70,4,44,7,0,7,-1,0,0,0,0
20230101232326,77,4,20,5,1,2,2,0,0,0,0
20230101232339,77,1,20,-1,1,2,2,0,0,0,-1
20230101232397,80,3,34,-1,0,3,-1,60,0,0,-1
20230101232469,80,3,34,-1,0,2,-1,60,0,0,-1
20230101232507,69,4,20,7,1,2,2,0,0,0,0
20230101232558,80,4,44,3,0,4,-1,60,0,0,0
20230101232562,40,4,22,40,1,3,3,0,0,0,0
20230110221705,65,4,24,15,1,2,2,0,0,0,0
20230111220001,53,4,24,5,1,2,2,0,0,0,0
20230111220571,85,3,43,-1,0,2,-1,60,0,0,-1
20230111220595,71,4,24,5,1,3,3,0,0,0,0
20230111220598,44,2,20,-1,1,2,2,0,0,0,-1
20230111220626,77,4,33,2,0,4,-1,0,0,0,0
20230111220626,78,3,34,-1,0,5,-1,0,0,0,-1
20230111220643,71,4,39,4,0,4,-1,0,0,0,0
20230111220657,74,3,47,-1,0,5,-1,0,0,0,-1
20230111220671,76,2,25,-1,1,3,3,0,0,0,-1
20230111220671,69,1,25,-1,1,4,4,0,0,0,-1
20230111220761,58,4,24,1,1,2,2,0,0,0,0
20230111220784,79,3,33,-1,0,3,-1,0,0,0,-1
20230111220784,80,4,34,2,0,4,-1,60,0,0,0
20230111220826,75,4,33,5,0,2,-1,0,0,0,0
20230111220877,80,4,34,3,0,3,-1,60,0,0,0
20230111220881,79,4,47,2,0,4,-1,0,0,0,0
20230111220903,85,4,39,3,0,4,-1,60,0,0,0
20230111220931,59,4,43,8,0,3,-1,0,0,0,0
20230111221034,80,4,26,7,1,2,2,0,0,0,0
20230111221123,61,1,33,-1,0,5,-1,0,0,0,-1
20230111221123,75,1,47,-1,0,6,-1,0,0,0,-1
20230111221123,80,4,48,3,0,7,-1,0,0,0,0
20230111221200,78,1,33,-1,0,5,-1,0,0,0,-1
20230111221229,74,3,34,-1,0,5,-1,0,0,0,-1
20230111221373,85,4,44,4,0,5,-1,0,0,0,0
20230111221382,85,4,39,5,0,3,-1,60,0,0,0
20230111221393,78,4,33,2,0,3,-1,0,0,0,0
20230111221515,57,4,49,1,0,2,-1,0,0,0,0
20230111221611,85,4,34,2,0,2,-1,60,0,0,0
20230111221621,85,4,39,2,0,3,-1,60,0,0,0
20230111221621,85,4,40,2,0,4,-1,60,0,0,0
20230111221744,75,4,34,3,0,4,-1,0,0,0,0
